Titre,Prix,Fabricant,Carrosserie,Energie,Puissance fiscale,Boite,Transmission,Kilometrage,Annee,Inserée le,Model
KIA Rio 5p Premiere main,45500,KIA,Citadine,Essence,5,Manuelle,Traction,68000,02.2018,26.02.2024,Rio 5p Premiere main
Chevrolet Aveo LS,26200,Chevrolet,Berline,Essence,5,Manuelle,Traction,182500,07.2016,18.02.2024,Aveo LS
Mazda 2 Sedan neuve,46000,Mazda,Berline,Essence,6,Manuelle,Traction,115000,04.2017,19.02.2024,2 Sedan neuve
Seat Ibiza,39000,Seat,Citadine,Essence,4,Manuelle,Manuelle,66500,05.2017,19.02.2024,Ibiza
"Haval H6 1,5 L",118000,Haval,SUV/4x4,Essence,8,Automatique,Traction,42000,05.2022,19.02.2024,"H6 1,5 L"
Citroën C3 shine plus sur équipée,33000,Citroën,Citadine,Essence,4,Manuelle,Traction,195000,08.2017,19.02.2024,C3 shine plus sur équipée
KIA Rio 5p,67500,KIA,Citadine,Essence,5,Manuelle,Traction,12000,09.2022,19.02.2024,Rio 5p
Mazda 3 Hatchback,48000,Mazda,Coupé,Essence,6,Manuelle,Traction,110000,05.2015,19.02.2024,3 Hatchback
Dacia Dokker Van,27000,Dacia,Utilitaire,Diesel,6,Manuelle,Traction,190000,04.2017,19.02.2024,Dokker Van
KIA Rio 5p Toute option,54000,KIA,Autres,Essence,5,Manuelle,Traction,86500,03.2019,19.02.2024,Rio 5p Toute option
Isuzu D-Max Double Cabine LS 4X4,125000,Isuzu,Pick up,Diesel,8,Manuelle,Intégrale,26700,10.2017,19.02.2024,D-Max Double Cabine LS 4X4
Geely GC6,32000,Geely,Berline,Essence,6,Manuelle,Intégrale,56000,10.2021,19.02.2024,GC6
Mercedes-Benz Classe E 2.2,78500,Mercedes,Berline,Diesel,8,Automatique,Traction,200000,09.2013,19.02.2024,-Benz Classe E 2.2
Jeep Renegade,85000,Jeep,SUV/4x4,Essence,8,Automatique,Traction,80000,01.2020,25.02.2024,Renegade
Hyundai Grand i10,39000,Hyundai,Berline,Essence,5,Manuelle,Traction,74000,05.2020,25.02.2024,Grand i10
Renault Megane,60000,Renault,Citadine,Essence,7,Manuelle,Traction,60000,08.2020,25.02.2024,Megane
Skoda Octavia,48000,Skoda,Berline,Essence,8,Automatique,Traction,113000,04.2016,25.02.2024,Octavia
Suzuki Dzire,38500,Suzuki,Citadine,Essence,5,Manuelle,Traction,90000,04.2019,25.02.2024,Dzire
BMW X6 XDRIVE D M.POWER,110000,BMW,SUV/4x4,Diesel,15,Automatique,Intégrale,278000,10.2010,18.02.2024,X6 XDRIVE D M.POWER
Volkswagen Golf 6,40000,Volkswagen,Utilitaire,Essence,5,Manuelle,Traction,122000,01.2012,18.02.2024,Golf 6
Renault Clio Campus,21500,Renault,Coupé,Essence,5,Manuelle,Traction,323000,07.2012,18.02.2024,Clio Campus
Hyundai i10,28500,Hyundai,Citadine,Essence,5,Manuelle,Propulsion,260000,09.2015,18.02.2024,i10
BMW X1,84000,BMW,SUV/4x4,Essence,7,Automatique,Traction,120000,05.2017,18.02.2024,X1
Ford Ecosport Titanium BVA,75000,Ford,SUV/4x4,Essence,7,Automatique,Traction,39000,10.2020,18.02.2024,Ecosport Titanium BVA
Dongfeng SX3,65000,Dongfeng,SUV/4x4,Essence,8,Manuelle,Traction,32000,03.2021,26.02.2024,SX3
Mazda BT-50,50000,Mazda,Pick up,Diesel,9,Manuelle,Traction,197000,05.2016,26.02.2024,BT-50
Seat Leon,65000,Seat,Citadine,Essence,6,Manuelle,Traction,79000,07.2018,26.02.2024,Leon
Citroën DS3 Sport chic,30500,Citroën,Coupé,Essence,5,Manuelle,Manuelle,99000,11.2013,26.02.2024,DS3 Sport chic
BYD Song,88000,BYD,SUV/4x4,Essence,9,Automatique,Intégrale,25000,11.2022,18.02.2024,Song
KIA Sportage extrem,110000,KIA,SUV/4x4,Essence,8,Automatique,Traction,23000,03.2020,18.02.2024,Sportage extrem
Peugeot 4008,52000,Peugeot,SUV/4x4,Essence,9,Manuelle,Traction,90000,02.2014,18.02.2024,4008
Audi A3 Berline S line,59000,Audi,Berline,Essence,5,Manuelle,Traction,180000,07.2015,18.02.2024,A3 Berline S line
KIA Rio 5p Neuve,44600,KIA,Coupé,Essence,5,Manuelle,Traction,100000,03.2020,18.02.2024,Rio 5p Neuve
BMW Série 3 316i,73000,BMW,Berline,Essence,7,Automatique,Traction,164000,12.2014,18.02.2024,Série 3 316i
BMW M1,50000,BMW,Coupé,Essence,21,Automatique,Traction,140000,04.2010,18.02.2024,M1
Skoda Octavia,37000,Skoda,Berline,Diesel,6,Automatique,Intégrale,295000,06.2012,18.02.2024,Octavia
Renault Kadjar,70000,Renault,SUV/4x4,Essence,7,Manuelle,Traction,69000,02.2019,18.02.2024,Kadjar
Peugeot Partner K9,45000,Peugeot,Utilitaire,Diesel,5,Manuelle,Traction,112000,10.2019,18.02.2024,Partner K9
Fiat Doblo Combi,50000,Fiat,Utilitaire,Essence,6,Manuelle,Traction,124000,10.2019,18.02.2024,Doblo Combi
Nissan Navara,39000,Nissan,Pick up,Diesel,8,Automatique,Traction,357000,05.2007,26.02.2024,Navara
Volkswagen Golf 7,73900,Volkswagen,Citadine,Essence,6,Manuelle,Traction,100000,11.2018,26.02.2024,Golf 7
Mahindra KUV 100,30000,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,87000,11.2018,26.02.2024,KUV 100
Mercedes-Benz Classe E,249000,Mercedes,Berline,Essence,9,Automatique,Traction,12000,02.2022,26.02.2024,-Benz Classe E
Mercedes-Benz Classe C,115000,Mercedes,Berline,Essence,8,Automatique,Traction,119000,05.2015,26.02.2024,-Benz Classe C
Peugeot 5008,75000,Peugeot,SUV/4x4,Essence,9,Automatique,Traction,120000,05.2019,26.02.2024,5008
Fiat Fiorino,27900,Fiat,Utilitaire,Diesel,5,Manuelle,Traction,115000,10.2018,26.02.2024,Fiorino
Renault Megane,48900,Renault,Citadine,Essence,7,Manuelle,Traction,144000,11.2018,26.02.2024,Megane
Ssangyong Tivoli,49500,Ssangyong,SUV/4x4,Diesel,7,Automatique,Traction,130000,03.2016,26.02.2024,Tivoli
Nissan Qashqai,69000,Nissan,SUV/4x4,Essence,7,Manuelle,Traction,69000,08.2018,17.02.2024,Qashqai
Chery Tiggo 3X Toutes OPTION,57500,Chery,SUV/4x4,Essence,6,Automatique,Traction,22000,04.2022,17.02.2024,Tiggo 3X Toutes OPTION
Mini Coupé One,73000,Mini,Coupé,Essence,5,Manuelle,Traction,200000,06.2017,17.02.2024,Coupé One
KIA Rio 5p,51500,KIA,Coupé,Essence,5,Manuelle,Traction,100000,09.2018,17.02.2024,Rio 5p
Volkswagen Golf 7 highline,72000,Volkswagen,Berline,Diesel,6,Manuelle,Traction,112000,12.2019,17.02.2024,Golf 7 highline
Peugeot Partner K9,47500,Peugeot,Utilitaire,Diesel,5,Manuelle,Traction,116000,12.2020,17.02.2024,Partner K9
BMW X5,78000,BMW,SUV/4x4,Essence,19,Automatique,Intégrale,136000,08.2008,17.02.2024,X5
BMW Série 1 Urbain,60000,BMW,Citadine,Essence,7,Automatique,Propulsion,131090,07.2015,24.02.2024,Série 1 Urbain
Hyundai Santa Fe,230000,Hyundai,SUV/4x4,Diesel,12,Automatique,Intégrale,46000,04.2022,24.02.2024,Santa Fe
Citroën Jumpy Fourgon,65000,Citroën,Utilitaire,Diesel,5,Manuelle,Traction,198000,04.2018,24.02.2024,Jumpy Fourgon
Audi A5 Coupé Kit rs 5,205000,Audi,Berline,Essence,8,Automatique,Traction,36000,10.2020,24.02.2024,A5 Coupé Kit rs 5
Mercedes-Benz Classe C kit AMG,185000,Mercedes,Berline,Essence,9,Automatique,Propulsion,26000,05.2020,24.02.2024,-Benz Classe C kit AMG
Mini 3 portes,43000,Mini,Citadine,Essence,7,Automatique,Traction,141000,09.2013,24.02.2024,3 portes
Mercedes-Benz Classe C Kit AMG,150000,Mercedes,Berline,Essence,8,Automatique,Propulsion,73000,10.2018,24.02.2024,-Benz Classe C Kit AMG
KIA Rio 5p GT Line,70000,KIA,Citadine,Essence,5,Manuelle,Manuelle,60000,05.2022,24.02.2024,Rio 5p GT Line
Seat Ibiza,44000,Seat,Citadine,Essence,4,Manuelle,Manuelle,51000,11.2018,24.02.2024,Ibiza
BMW Série 5 Pack M + options personnalisées,253000,BMW,Berline,Essence,10,Automatique,Propulsion,37000,01.2022,24.02.2024,Série 5 Pack M + options personnalisées
Chevrolet Cruze,35500,Chevrolet,Berline,Essence,7,Manuelle,Intégrale,198000,07.2014,24.02.2024,Cruze
Renault Clio,43500,Renault,Citadine,Essence,5,Manuelle,Manuelle,104000,12.2018,24.02.2024,Clio
BMW Série 3 business,165000,BMW,Berline,Essence,9,Automatique,Propulsion,62000,04.2021,26.02.2024,Série 3 business
Mercedes-Benz Classe C business,132000,Mercedes,Berline,Diesel,7,Automatique,Propulsion,92000,08.2019,26.02.2024,-Benz Classe C business
BMW Série 3 Luxury Line,85000,BMW,Berline,Essence,7,Automatique,Propulsion,145000,06.2016,26.02.2024,Série 3 Luxury Line
Fiat 500 BVA,43500,Fiat,Coupé,Essence,4,Automatique,Traction,82000,10.2016,26.02.2024,500 BVA
Peugeot 407 Navteq,45000,Peugeot,Citadine,Essence,6,Manuelle,Traction,107000,04.2007,26.02.2024,407 Navteq
Peugeot 208,29800,Peugeot,Compacte,Essence,5,Manuelle,Traction,186000,06.2014,26.02.2024,208
BMW X6 N47B30,115000,BMW,SUV/4x4,Diesel,15,Automatique,Intégrale,173000,01.2012,26.02.2024,X6 N47B30
BMW Série 5 N46T,57000,BMW,Autres,Essence,9,Automatique,Traction,100000,05.2012,26.02.2024,Série 5 N46T
Audi Q2 comfort line,107000,Audi,SUV/4x4,Essence,6,Automatique,Traction,53000,01.2019,26.02.2024,Q2 comfort line
Volkswagen Golf 7 IQ.DRIVE,79000,Volkswagen,Compacte,Essence,6,Manuelle,Traction,53000,10.2019,26.02.2024,Golf 7 IQ.DRIVE
KIA Sportage BVA,96000,KIA,SUV/4x4,Essence,8,Automatique,Traction,52000,02.2020,26.02.2024,Sportage BVA
Ford Mondeo comfort,37500,Ford,Berline,Essence,7,Manuelle,Traction,115000,01.2015,26.02.2024,Mondeo comfort
Fiat Grande Punto toutes options,23800,Fiat,Compacte,Essence,5,Manuelle,Traction,165000,05.2010,17.02.2024,Grande Punto toutes options
Ford Fiesta Titanium,28400,Ford,Citadine,Essence,5,Manuelle,Traction,230000,11.2012,17.02.2024,Fiesta Titanium
Jeep Renegade 1.4 TURBO LIMITED BVA 4X2,73500,Jeep,SUV/4x4,Essence,8,Automatique,Traction,122000,06.2018,18.02.2024,Renegade 1.4 TURBO LIMITED BVA 4X2
Volkswagen Golf 7,88000,Volkswagen,Berline,Essence,9,Manuelle,Traction,9900,08.2020,18.02.2024,Golf 7
Citroën C4 II Millenium,39000,Citroën,Compacte,Essence,6,Manuelle,Traction,125000,02.2018,18.02.2024,C4 II Millenium
Peugeot 3008,82000,Peugeot,SUV/4x4,Essence,8,Automatique,Traction,78000,06.2019,18.02.2024,3008
Ssangyong Tivoli SUV,56000,Ssangyong,SUV/4x4,Essence,7,Manuelle,Traction,84000,10.2017,18.02.2024,Tivoli SUV
Audi Q5,50000,Audi,SUV/4x4,Essence,13,Automatique,Traction,290000,07.2010,26.02.2024,Q5
Peugeot 208,48000,Peugeot,Citadine,Essence,5,Manuelle,Traction,60000,07.2021,26.02.2024,208
Seat Leon Style plus,69500,Seat,Citadine,Essence,6,Manuelle,Traction,60000,09.2020,26.02.2024,Leon Style plus
Hyundai Tucson,87000,Hyundai,SUV/4x4,Essence,8,Automatique,Traction,120000,01.2020,26.02.2024,Tucson
Hyundai Tucson,153000,Hyundai,SUV/4x4,Essence,10,Automatique,Traction,16000,07.2023,26.02.2024,Tucson
Peugeot 2008 Purtech,81000,Peugeot,SUV/4x4,Essence,6,Manuelle,Traction,6000,07.2022,26.02.2024,2008 Purtech
Mercedes-Benz GLA,198000,Mercedes,SUV/4x4,Essence,7,Automatique,Traction,6000,06.2023,26.02.2024,-Benz GLA
BMW Série 4 Gran Coupé Luxury,99000,BMW,Citadine,Essence,7,Automatique,Traction,100000,01.2018,26.02.2024,Série 4 Gran Coupé Luxury
Volkswagen Golf 7 Join Bva 1.5,80000,Volkswagen,SUV/4x4,Essence,6,Automatique,Traction,120000,08.2019,26.02.2024,Golf 7 Join Bva 1.5
KIA Picanto GT-line,38500,KIA,Citadine,Essence,5,Automatique,Traction,130000,08.2019,26.02.2024,Picanto GT-line
Hyundai Grand i10 BVM,47500,Hyundai,Compacte,Essence,5,Manuelle,Manuelle,26000,01.2023,26.02.2024,Grand i10 BVM
Peugeot 406,19800,Peugeot,Berline,Essence,7,Manuelle,Traction,247000,08.2003,26.02.2024,406
BAIC YX Kenbo S2 SUV,42800,BAIC,SUV/4x4,Essence,7,Manuelle,Propulsion,51000,01.2018,26.02.2024,YX Kenbo S2 SUV
Audi A4 comfort,46000,Audi,Berline,Essence,7,Manuelle,Traction,187000,05.2013,26.02.2024,A4 comfort
Volkswagen Passat Comfort line BVA,44000,Volkswagen,Berline,Essence,9,Automatique,Traction,137000,04.2012,26.02.2024,Passat Comfort line BVA
Smart ForTwo Sport,27500,Smart,Compacte,Essence,5,Manuelle,Propulsion,101000,08.2010,26.02.2024,ForTwo Sport
Volkswagen Polo R-Line,67000,Volkswagen,Compacte,Essence,4,Manuelle,Traction,78000,05.2021,26.02.2024,Polo R-Line
Mercedes-Benz Classe A,50000,Mercedes,Coupé,Diesel,5,Automatique,Traction,181000,02.2014,17.02.2024,-Benz Classe A
Mazda 6 En très bonne etat,65000,Mazda,Berline,Essence,9,Automatique,Traction,141000,03.2016,17.02.2024,6 En très bonne etat
Mercedes-Benz Classe E 220,59000,Mercedes,Berline,Diesel,9,Manuelle,Traction,200000,08.2009,26.02.2024,-Benz Classe E 220
BMW Série 4 Gran Coupé 418i,105000,BMW,Berline,Essence,7,Automatique,Traction,100000,01.2018,26.02.2024,Série 4 Gran Coupé 418i
Hyundai Grand i10 High grade,48500,Hyundai,Coupé,Essence,5,Manuelle,Manuelle,50000,09.2022,26.02.2024,Grand i10 High grade
Volkswagen Golf 7 comfort line,76000,Volkswagen,Coupé,Essence,6,Manuelle,Traction,100000,03.2020,26.02.2024,Golf 7 comfort line
Seat Ibiza FR BVA,69500,Seat,Compacte,Essence,6,Automatique,Traction,125000,08.2020,26.02.2024,Ibiza FR BVA
Volkswagen Passat Smart Line,78000,Smart,Berline,Essence,7,Manuelle,Traction,67000,06.2018,26.02.2024,Volkswagen Passat  Line
Land Rover Range Rover Evoque 2.0,210000,Land Rover,SUV/4x4,Hybride diesel,8,Automatique,Traction,49000,10.2019,17.02.2024,Range Rover Evoque 2.0
Mercedes-Benz Sprinter Van,29000,Mercedes,Utilitaire,Diesel,7,Manuelle,Intégrale,351000,05.2006,17.02.2024,-Benz Sprinter Van
Audi A5 Sportback S-line,130000,Audi,Berline,Essence,8,Automatique,Traction,90000,01.2020,17.02.2024,A5 Sportback S-line
Fiat 500 C cabriolet,38000,Fiat,Cabriolet,Essence,6,Automatique,Traction,143000,07.2013,26.02.2024,500 C cabriolet
KIA Sportage,85000,KIA,SUV/4x4,Diesel,10,Automatique,Traction,308000,08.2017,26.02.2024,Sportage
Renault Megane,62000,Renault,Citadine,Diesel,5,Manuelle,Traction,133000,09.2017,26.02.2024,Megane
Volkswagen Golf 7 IQ drive,80000,Volkswagen,Compacte,Essence,5,Manuelle,Traction,65000,03.2019,16.02.2024,Golf 7 IQ drive
Citroën C4,28000,Citroën,Compacte,Essence,6,Manuelle,Intégrale,325000,10.2010,16.02.2024,C4
Fiat Fiorino,33000,Fiat,Utilitaire,Diesel,5,Manuelle,Traction,86000,08.2020,26.02.2024,Fiorino
KIA Rio Berline,34500,KIA,Berline,Essence,5,Manuelle,Traction,174000,08.2013,16.02.2024,Rio Berline
Suzuki Swift,48900,Suzuki,Citadine,Essence,5,Manuelle,Traction,22000,10.2022,16.02.2024,Swift
Mazda 3,63000,Mazda,Berline,Essence,6,Manuelle,Traction,46000,12.2018,16.02.2024,3
KIA Rio 5p,67000,KIA,Coupé,Essence,5,Manuelle,Traction,27000,06.2022,16.02.2024,Rio 5p
Land Rover Range Rover Evoque,280000,Land Rover,Compacte,Hybride essence,9,Automatique,Intégrale,18000,04.2022,16.02.2024,Range Rover Evoque
Mercedes-Benz GLC,149000,Mercedes,SUV/4x4,Diesel,9,Automatique,Intégrale,250000,04.2016,16.02.2024,-Benz GLC
KIA Picanto GTline,49800,KIA,Citadine,Essence,4,Automatique,Automatique,60000,09.2021,16.02.2024,Picanto GTline
Peugeot 2008,42000,Peugeot,SUV/4x4,Essence,5,Manuelle,Traction,124000,08.2016,16.02.2024,2008
Peugeot 308,42000,Peugeot,Citadine,Essence,6,Manuelle,Traction,140000,11.2019,26.02.2024,308
Fiat 500,26900,Fiat,Citadine,Essence,4,Manuelle,Traction,168000,07.2009,26.02.2024,500
Dacia Dokker Van,25500,Dacia,Utilitaire,Diesel,6,Manuelle,Traction,325000,10.2016,26.02.2024,Dokker Van
Peugeot 508 Bva edition limitee,34500,Peugeot,Berline,Essence,7,Automatique,Traction,180500,09.2012,16.02.2024,508 Bva edition limitee
Nissan Qashqai Tekna +,59500,Nissan,SUV/4x4,Essence,6,Automatique,Traction,110000,01.2017,16.02.2024,Qashqai Tekna +
Chery Arrizo 3,32000,Chery,Berline,Essence,6,Manuelle,Traction,49653,12.2018,16.02.2024,Arrizo 3
BMW Série 4 Coupé KIT M,85000,BMW,Coupé,Essence,10,Automatique,Propulsion,190000,07.2015,16.02.2024,Série 4 Coupé KIT M
Audi A4,37000,Audi,Autres,Essence,7,Automatique,Traction,204000,01.2011,16.02.2024,A4
Mercedes-Benz Classe C Bon occasion,42000,Mercedes,Compacte,Diesel,10,Automatique,Traction,290000,09.2008,16.02.2024,-Benz Classe C Bon occasion
KIA Rio 5p,34500,KIA,Coupé,Essence,5,Manuelle,Traction,158000,12.2012,17.02.2024,Rio 5p
Fiat 500X Business,67000,Fiat,SUV/4x4,Essence,8,Automatique,Traction,730000,08.2018,16.02.2024,500X Business
Mercedes-Benz Classe C Avantgarde,99000,Mercedes,Berline,Essence,8,Automatique,Intégrale,111170,04.2016,17.02.2024,-Benz Classe C Avantgarde
Ford Ecosport Trend Line,63000,Ford,SUV/4x4,Essence,7,Manuelle,Traction,57000,07.2018,16.02.2024,Ecosport Trend Line
Ford Focus ecoboost,47000,Ford,Coupé,Essence,6,Manuelle,Traction,78000,12.2017,17.02.2024,Focus ecoboost
Jaguar XE R-sport,127000,Jaguar,Berline,Essence,12,Automatique,Propulsion,95000,10.2017,17.02.2024,XE R-sport
Renault Megane 4,54000,Renault,Autres,Diesel,5,Manuelle,Traction,250000,03.2019,16.02.2024,Megane 4
Volkswagen Golf 7,58000,Volkswagen,Autres,Essence,5,Manuelle,Traction,150000,01.2016,24.02.2024,Golf 7
Nissan Qashqai,70000,Nissan,SUV/4x4,Essence,6,Automatique,Traction,115000,10.2017,24.02.2024,Qashqai
Nissan Qashqai+2,48000,Nissan,SUV/4x4,Diesel,6,Manuelle,Traction,200000,11.2010,24.02.2024,Qashqai+2
Chery Arrizo 5,40000,Chery,Berline,Essence,7,Manuelle,Traction,162000,03.2018,24.02.2024,Arrizo 5
BMW Série 7,65000,BMW,Berline,Essence,20,Manuelle,Propulsion,160000,01.2008,24.02.2024,Série 7
Mercedes-Benz Classe A,81000,Mercedes,Citadine,Essence,6,Automatique,Propulsion,84000,01.2019,24.02.2024,-Benz Classe A
Nissan Juke,68000,Nissan,SUV/4x4,Essence,6,Manuelle,Traction,120000,10.2017,24.02.2024,Juke
Hyundai Grand i10,50000,Hyundai,Citadine,Essence,5,Manuelle,Propulsion,60000,01.2022,24.02.2024,Grand i10
Mercedes-Benz Classe A,125000,Mercedes,Berline,Diesel,6,Automatique,Propulsion,87000,05.2020,24.02.2024,-Benz Classe A
Land Rover Range Rover Evoque,145000,Land Rover,SUV/4x4,Diesel,8,Automatique,Traction,160000,10.2017,24.02.2024,Range Rover Evoque
Mercedes-Benz Classe A En bonne État,56000,Mercedes,Coupé,Essence,6,Automatique,Propulsion,180000,07.2013,15.02.2024,-Benz Classe A En bonne État
Nissan Qashqai,58000,Nissan,Citadine,Essence,6,Automatique,Traction,167000,12.2015,15.02.2024,Qashqai
Volkswagen Polo 8,55000,Volkswagen,Compacte,Essence,4,Manuelle,Traction,58000,06.2021,15.02.2024,Polo 8
Ford Fiesta,39000,Ford,Citadine,Essence,5,Manuelle,Traction,48900,10.2017,15.02.2024,Fiesta
Mazda 3,85000,Mazda,Citadine,Essence,6,Automatique,Propulsion,63000,07.2020,15.02.2024,3
Ssangyong Musso BOITE AUTO,120000,Ssangyong,Pick up,Diesel,7,Automatique,Intégrale,70000,09.2019,15.02.2024,Musso BOITE AUTO
Mercedes-Benz CLA Kit AMG,75000,Mercedes,Berline,Essence,7,Automatique,Traction,132000,11.2013,15.02.2024,-Benz CLA Kit AMG
Jeep Renegade,71500,Jeep,SUV/4x4,Essence,8,Automatique,Traction,157000,10.2017,15.02.2024,Renegade
KIA Rio 5p Gx,57000,KIA,Autres,Essence,5,Manuelle,Traction,55000,01.2022,15.02.2024,Rio 5p Gx
Citroën DS3,30500,Citroën,Coupé,Essence,5,Manuelle,Traction,130000,08.2015,15.02.2024,DS3
Land Rover Range Rover Velar R dynamique,310000,Land Rover,Autres,Diesel,19,Automatique,Traction,100000,03.2019,15.02.2024,Range Rover Velar R dynamique
Hyundai Venue,87500,Hyundai,SUV/4x4,Essence,7,Automatique,Traction,16350,05.2023,15.02.2024,Venue
MG ZS,73000,MG,SUV/4x4,Essence,7,Manuelle,Traction,27000,07.2022,26.02.2024,ZS
Porsche Cayenne,440000,Porsche,SUV/4x4,Essence,23,Automatique,Traction,58000,05.2020,26.02.2024,Cayenne
Toyota Land Cruiser,150000,Toyota,SUV/4x4,Essence,20,Automatique,Intégrale,303000,06.2009,26.02.2024,Land Cruiser
Mercedes-Benz GLC Coupé,320000,Mercedes,SUV/4x4,Hybride essence,10,Automatique,Intégrale,22000,05.2022,26.02.2024,-Benz GLC Coupé
Volkswagen Golf 7 R,190000,Volkswagen,Autres,Essence,20,Automatique,Intégrale,57000,08.2019,26.02.2024,Golf 7 R
Volkswagen Tiguan,126000,Volkswagen,SUV/4x4,Essence,8,Automatique,Traction,69000,08.2021,26.02.2024,Tiguan
BMW X1,95000,BMW,SUV/4x4,Essence,7,Automatique,Traction,80000,09.2017,26.02.2024,X1
Porsche Panamera,185000,Porsche,Berline,Essence,20,Automatique,Traction,80000,07.2012,26.02.2024,Panamera
Volkswagen Golf 7 GTI,130000,Volkswagen,Compacte,Essence,13,Automatique,Traction,69000,03.2017,26.02.2024,Golf 7 GTI
Porsche Cayenne Coupé,440000,Porsche,SUV/4x4,Essence,25,Automatique,Intégrale,79000,02.2020,26.02.2024,Cayenne Coupé
Porsche Cayenne,530000,Porsche,Berline,Essence,23,Automatique,Traction,4700,06.2022,26.02.2024,Cayenne
Nissan Qashqai,63000,Nissan,SUV/4x4,Essence,6,Automatique,Traction,97000,09.2016,26.02.2024,Qashqai
Citroën DS3,28500,Citroën,Citadine,Essence,5,Manuelle,Traction,187000,12.2013,26.02.2024,DS3
Dacia Dokker Van,30000,Dacia,Utilitaire,Diesel,6,Manuelle,Traction,128000,06.2018,26.02.2024,Dokker Van
Seat Arona,72000,Seat,SUV/4x4,Essence,6,Automatique,Traction,91000,09.2020,26.02.2024,Arona
KIA Sportage,151000,KIA,SUV/4x4,Essence,10,Automatique,Traction,3000,08.2022,26.02.2024,Sportage
Land Rover Range Rover Velar R-DYNAMIC,270000,Land Rover,SUV/4x4,Diesel,11,Automatique,Propulsion,103000,02.2020,26.02.2024,Range Rover Velar R-DYNAMIC
BMW Série 3 Luxury,62500,BMW,Berline,Essence,7,Automatique,Traction,170000,08.2013,26.02.2024,Série 3 Luxury
Mercedes-Benz GLC AMG,229000,Mercedes,SUV/4x4,Hybride essence,12,Automatique,Traction,70000,10.2019,26.02.2024,-Benz GLC AMG
KIA Sportage gt-line AWD,110000,KIA,SUV/4x4,Essence,11,Automatique,Intégrale,70000,04.2020,26.02.2024,Sportage gt-line AWD
Volkswagen Tiguan confortline,138000,Volkswagen,SUV/4x4,Essence,8,Automatique,Traction,33000,09.2020,26.02.2024,Tiguan confortline
KIA Sportage GDI,80000,KIA,SUV/4x4,Essence,8,Automatique,Traction,220000,01.2018,24.02.2024,Sportage GDI
Audi A3 Sportback,55000,Audi,Autres,Essence,10,Manuelle,Traction,150000,06.2015,24.02.2024,A3 Sportback
BMW Série 7,145000,BMW,Autres,Essence,23,Automatique,Intégrale,126000,10.2010,24.02.2024,Série 7
Mini 3 portes,57000,Mini,Autres,Essence,5,Manuelle,Traction,90000,09.2015,24.02.2024,3 portes
Mitsubishi L200 Simple Cabine,100000,Mitsubishi,Autres,Essence,10,Manuelle,Intégrale,49000,03.2020,24.02.2024,L200 Simple Cabine
Lada 4x4,55000,Lada,Autres,Essence,7,Manuelle,Intégrale,55000,03.2020,24.02.2024,4x4
Jeep Compass,127000,Jeep,Autres,Essence,8,Manuelle,Intégrale,36000,03.2021,24.02.2024,Compass
Land Rover Defender 110,75000,Land Rover,Autres,Diesel,8,Manuelle,Intégrale,190000,11.2006,24.02.2024,Defender 110
Mercedes-Benz GLA AMG,189000,Mercedes,SUV/4x4,Hybride rechargeable essence,6,Automatique,Traction,52000,12.2020,26.02.2024,-Benz GLA AMG
Volkswagen Jetta,48000,Volkswagen,Autres,Essence,8,Manuelle,Traction,140000,04.2013,24.02.2024,Jetta
BMW Série 5,60000,BMW,Autres,Essence,11,Manuelle,Propulsion,143000,06.2007,24.02.2024,Série 5
Peugeot 207,34000,Peugeot,Autres,Essence,6,Automatique,Traction,75000,06.2010,24.02.2024,207
Land Rover Range Rover Evoque,125000,Land Rover,Autres,Diesel,11,Automatique,Intégrale,180000,01.2012,24.02.2024,Range Rover Evoque
BMW Série 3 KIT M performance,245000,BMW,Berline,Essence,10,Automatique,Traction,28000,06.2020,26.02.2024,Série 3 KIT M performance
Seat Ibiza,47900,Seat,Coupé,Essence,4,Manuelle,Traction,98000,08.2021,26.02.2024,Ibiza
Audi RS Q3,440000,Audi,SUV/4x4,Essence,29,Automatique,Intégrale,30000,11.2022,26.02.2024,RS Q3
Land Rover Range Rover Velar P250,385000,Land Rover,SUV/4x4,Essence,15,Automatique,Intégrale,2000,08.2023,26.02.2024,Range Rover Velar P250
Haval H6 9cv,77000,Haval,SUV/4x4,Essence,9,Automatique,Traction,108000,11.2019,26.02.2024,H6 9cv
Seat Leon FR,112000,Seat,Berline,Essence,8,Automatique,Traction,6500,01.2023,26.02.2024,Leon FR
Land Rover Range Rover Sport,130000,Land Rover,Autres,Diesel,13,Automatique,Intégrale,174000,06.2008,24.02.2024,Range Rover Sport
BMW Série 4 Gran Coupé ///M PERFORMANCE LIMITED EDITION,149000,BMW,Coupé,Essence,10,Automatique,Intégrale,119000,04.2016,26.02.2024,Série 4 Gran Coupé ///M PERFORMANCE LIMITED EDITION
Land Rover Discovery Sport,145000,Land Rover,SUV/4x4,Essence,15,Automatique,Traction,115000,11.2014,26.02.2024,Discovery Sport
Land Rover Range Rover Sport autobiography P400e,445000,Land Rover,SUV/4x4,Hybride essence,17,Automatique,Automatique,40000,05.2020,26.02.2024,Range Rover Sport autobiography P400e
Peugeot 208,31500,Peugeot,Citadine,Essence,4,Manuelle,Traction,109000,08.2019,26.02.2024,208
Volkswagen Passat,109000,Volkswagen,Berline,Essence,7,Manuelle,Traction,63000,11.2018,26.02.2024,Passat
